iter	RMSE
0	77849.16567
1	77011.83611
2	76195.51104
3	75252.08619
4	74378.6291
5	73456.18738
6	72538.7596
7	71752.14273
8	70911.30474
9	70067.44673
10	69229.02659
11	68378.17921
12	67533.3607
13	66759.00881
14	65983.01697
15	65228.51425
16	64435.19536
17	63653.67504
18	62917.08257
19	62170.11757
20	61483.79347
21	60767.14301
22	60063.15547
23	59482.53813
24	58888.70863
25	58237.15806
26	57659.85343
27	57039.48853
28	56433.36394
29	55881.47496
30	55312.94613
31	54712.76946
32	54138.60661
33	53605.96221
34	53077.42534
35	52508.41544
36	51988.45977
37	51473.72538
38	50948.19664
39	50478.88394
40	49976.37127
41	49600.14854
42	49078.90962
43	48556.0215
44	48048.57376
45	47600.21883
46	47128.39297
47	46709.24128
48	46279.58553
49	45826.57524
50	45369.99183
51	44979.74521
52	44556.76245
53	44160.76542
54	43819.13611
55	43528.8417
56	43094.21902
57	42706.79116
58	42297.85282
59	41963.44329
60	41571.38678
61	41253.0161
62	40896.21252
63	40562.3642
64	40234.99219
65	39910.65394
66	39584.56246
67	39263.93568
68	38956.9022
69	38628.94339
70	38296.83848
71	37968.99912
72	37719.18017
73	37420.60549
74	37153.34782
75	36892.46832
76	36624.07325
77	36338.70294
78	36063.9102
79	35821.85985
80	35595.047
81	35367.55253
82	35075.39236
83	34842.10465
84	34600.24754
85	34342.46418
86	34134.09444
87	33923.6315
88	33685.6641
89	33455.70455
90	33260.68781
91	33033.13213
92	32806.24806
93	32571.60823
94	32348.41941
95	32158.7598
96	31947.79565
97	31771.96802
98	31582.36
99	31413.01777
100	31231.17256
101	31064.07066
102	30874.57728
103	30698.51405
104	30550.64392
105	30383.27219
106	30198.75655
107	30044.52659
108	29900.7159
109	29787.16371
110	29629.80361
111	29493.36196
112	29346.7781
113	29223.41199
114	29067.68847
115	28919.91095
116	28763.20911
117	28617.33945
118	28480.37941
119	28320.73564
120	28175.76377
121	28045.31915
122	27901.60421
123	27763.15052
124	27676.11345
125	27538.11565
126	27421.66614
127	27297.37384
128	27180.01264
129	27067.5896
130	26971.3169
131	26849.51187
132	26750.45562
133	26664.68969
134	26553.73104
135	26443.18005
136	26318.29389
137	26221.36039
138	26099.85063
139	25998.81154
140	25981.27979
141	25859.96226
142	25788.07065
143	25679.71621
144	25618.86794
145	25527.38237
146	25449.70995
147	25351.22436
148	25237.57238
149	25139.64433
150	25057.57971
151	24976.33115
152	24889.6305
153	24784.93033
154	24695.87127
155	24625.07676
156	24531.79359
157	24445.33151
158	24354.46673
159	24278.69283
160	24187.98399
161	24111.57053
162	24052.90484
163	23968.55982
164	23894.34563
165	23795.27984
166	23715.82021
167	23636.41385
168	23568.48613
169	23526.96622
170	23455.60629
171	23368.23467
172	23301.4997
173	23224.4588
174	23153.28303
175	23093.88813
176	23038.13891
177	22981.67002
178	22941.66034
179	22877.88992
180	22811.62781
181	22723.7449
182	22648.69375
183	22634.83209
184	22573.06577
185	22518.06266
186	22451.77635
187	22378.60031
188	22311.68938
189	22269.01735
190	22204.00461
191	22149.95708
192	22083.84256
193	22027.86931
194	21970.32243
195	21899.52821
196	21854.57171
197	21790.38016
198	21725.72927
199	21667.09513
200	21613.13242
201	21552.27014
202	21503.74074
203	21462.60559
204	21445.35785
205	21431.05525
206	21371.52252
207	21318.27768
208	21275.67342
209	21233.53298
210	21191.6386
211	21146.75571
212	21103.51583
213	21051.75432
214	21037.56924
215	20985.72015
216	20926.1211
217	20880.77002
218	20831.56209
219	20782.59518
220	20734.50704
221	20692.56035
