iter	Passed	Remaining
0	1	5573
1	3	5236
2	5	5509
3	7	5328
4	8	5139
5	10	5038
6	11	4968
7	13	4960
8	14	4928
9	16	4908
10	17	4863
11	19	4835
12	21	4871
13	22	4872
14	24	4835
15	25	4804
16	27	4780
17	28	4782
18	30	4765
19	31	4742
20	33	4730
21	34	4709
22	36	4714
23	38	4715
24	39	4706
25	41	4700
26	42	4691
27	44	4690
28	45	4706
29	47	4700
30	48	4692
31	50	4690
32	52	4692
33	53	4701
34	55	4703
35	57	4696
36	58	4684
37	60	4678
38	61	4692
39	63	4690
40	64	4681
41	66	4693
42	68	4712
43	70	4738
44	72	4731
45	73	4721
46	75	4712
47	76	4705
48	78	4709
49	79	4711
50	81	4708
51	82	4703
52	84	4699
53	86	4711
54	88	4716
55	89	4716
56	91	4712
57	92	4715
58	94	4723
59	96	4731
60	98	4725
61	99	4724
62	101	4733
63	103	4747
64	105	4749
65	106	4748
66	108	4742
67	110	4743
68	111	4746
69	113	4739
70	114	4736
71	116	4735
72	118	4743
73	119	4744
74	121	4741
75	123	4736
76	124	4731
77	126	4740
78	128	4741
79	129	4738
80	131	4734
81	132	4729
82	134	4727
83	136	4721
84	137	4720
85	139	4717
86	141	4722
87	142	4729
88	144	4729
89	146	4724
90	147	4717
91	149	4713
92	150	4708
93	152	4705
94	153	4699
95	186	5645
96	188	5636
97	189	5622
98	191	5617
99	193	5602
100	194	5587
101	196	5572
102	197	5558
103	199	5553
104	200	5540
105	202	5530
106	204	5519
107	205	5504
108	207	5500
109	209	5494
110	210	5483
111	212	5471
112	213	5460
113	215	5459
114	217	5454
115	219	5447
116	220	5438
117	222	5427
118	223	5419
119	225	5409
120	226	5397
121	228	5387
122	229	5377
123	231	5371
124	233	5364
125	234	5353
126	236	5342
127	237	5331
128	239	5333
129	241	5322
130	242	5313
131	244	5303
132	245	5293
133	247	5290
134	248	5283
135	250	5274
136	251	5263
137	253	5254
138	255	5254
139	256	5246
140	258	5237
141	259	5229
142	261	5220
143	263	5218
144	264	5211
145	266	5203
146	267	5194
147	269	5185
148	270	5184
149	273	5193
150	275	5204
151	278	5213
152	280	5220
153	282	5219
154	284	5219
155	286	5226
156	288	5233
157	290	5231
158	293	5237
159	295	5247
160	297	5253
161	300	5256
162	302	5260
163	304	5260
164	305	5257
165	307	5251
166	309	5244
167	311	5247
168	313	5252
